song_id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,target,song_title,artist,similarity,URL
0,0.010248431,0.824825986,204600,0.426362897,0.0219,2,0.165,0.741140592,1,0.431,0.596033172,4,0.286,1,Mask Off,Future,0.9607999992158744,https://open.spotify.com/track/0VgkVdmE4gld66l8iyGjgx
1,0.199997717,0.720417633,326933,0.350081367,0.00611,1,0.137,0.692162245,1,0.0794,0.6544742,4,0.588,1,Redbone,Childish Gambino,0.9634275467027407,https://open.spotify.com/track/3vQ4T78TTMOjQXGfXVKQJo
2,0.034570109,0.83062645,185707,0.403986981,0.000234,2,0.159,0.79136932,1,0.289,0.158539003,4,0.173,1,Xanny Family,Future,0.9505154920860058,https://open.spotify.com/track/0BzDQgmeRdA4V71VhfBvXT
3,0.607034054,0.431554524,199413,0.328722539,0.51,5,0.0922,0.544708753,1,0.0261,0.225162126,4,0.23,1,Master Of None,Beach House,0.9011288507552899,https://open.spotify.com/track/3stWWPN41byqp8loPdy92u
4,0.180902185,0.645011601,392893,0.555532954,0.512,5,0.439,0.654132357,0,0.0694,0.735659466,4,0.904,1,Parallel Lines,Junior Boys,0.9613705214209212,https://open.spotify.com/track/2HhBmnL8kVYaevaaCsnMVB
5,0.00481123,0.791183295,251333,0.554515867,0.0,8,0.164,0.80558097,1,0.185,0.216735094,4,0.264,1,Sneakin’,Drake,0.9653828757858763,https://open.spotify.com/track/4ckuS4Nj4FZ7i3Def3Br8W
6,0.014570052,0.715777262,241400,0.465012205,7.27e-06,1,0.207,0.667673071,1,0.156,0.187616637,4,0.308,1,Childs Play,Drake,0.9649968156892885,https://open.spotify.com/track/3NxAG2ni1lLa8RKL6a0INc
7,0.020298711,0.167053364,349667,0.338893409,0.664,10,0.16,0.655321744,0,0.0371,0.561578567,4,0.393,1,Gyöngyhajú lány,Omega,0.8672697998983833,https://open.spotify.com/track/3nDfx9WqSNOfbuCP4yonzj
8,0.048338992,0.55800464,202853,0.945077299,0.0,11,0.342,0.898780116,0,0.347,0.479238593,4,0.398,1,I've Seen Footage,Death Grips,0.9516943647154198,https://open.spotify.com/track/7nCONy10IHp7XD3oYZ0lcx
9,0.002087604,0.828306265,226840,0.59825061,0.0,7,0.571,0.771729186,1,0.237,0.304043809,4,0.386,1,Digital Animal,Honey Claws,0.9718042081172001,https://open.spotify.com/track/18X6UBQBm9Php85JPDakaE
10,0.057484747,0.467517401,358187,0.85455655,0.0143,5,0.649,0.784537969,0,0.0548,0.37377531,3,0.524,1,Subways - In Flagranti Extended Edit,The Avalanches,0.9458517980481198,https://open.spotify.com/track/2Vz0O2hKULizkPHErf4Nxa
11,0.091957207,0.732018561,324880,0.745728234,0.00348,10,0.212,0.746477585,1,0.0494,0.329284081,4,0.642,1,Donme Dolap - Baris K Edit,Modern Folk Üçlüsü,0.9804270026467801,https://open.spotify.com/track/0uuUnLlj2MVacsucCMZ4v2
12,0.254269228,0.55800464,356973,0.426362897,0.0619,0,0.108,0.67200366,1,0.0342,0.465510404,4,0.381,1,Cemalim,Erkin Koray,0.991786049362611,https://open.spotify.com/track/3lknNPO6RMGM9FMdkEHtBC
13,0.367837392,0.742459397,243270,0.469080553,0.0,0,0.103,0.622476365,1,0.114,0.479075301,4,0.367,1,One Night,Lil Yachty,0.9854534398624623,https://open.spotify.com/track/52HHNmmXwhFp6zkB8wqAJq
14,0.442209463,0.626450116,247288,0.59825061,0.0,9,0.0972,0.755718207,0,0.0793,0.449939349,4,0.351,1,Oh lala,PNL,0.9882835486418449,https://open.spotify.com/track/1mmOcSVsxfbXm72XkvwEhK
15,0.019092678,0.597447796,188333,0.831163548,0.0563,6,0.316,0.806953339,1,0.163,0.304008818,4,0.317,1,Char,Crystal Castles,0.9563464314672193,https://open.spotify.com/track/1r4oikmMdZZiGHkPA4hSoe
16,0.024017315,0.55800464,270827,0.956265256,0.0451,1,0.119,0.883989021,1,0.0458,0.443588458,4,0.773,1,World In Motion,New Order,0.9465879710085611,https://open.spotify.com/track/08po8QZK3tihnLBZWATAki
17,0.234168668,0.773781903,447907,0.655207486,0.00049,4,0.184,0.623452272,0,0.0429,0.434799851,4,0.842,1,One Nation Under a Groove,Funkadelic,0.9893486714136452,https://open.spotify.com/track/4k1k7GBH1wEeLz4GqTyb2X
18,0.315575936,0.685614849,195429,0.606387307,0.0,1,0.117,0.804971028,0,0.241,0.53770878,4,0.783,1,Bouncin,Chief Keef,0.9957159317925791,https://open.spotify.com/track/6daconu258hc5a7TlCjBlB
19,0.024318823,0.711136891,214347,0.756916192,0.185,1,0.0966,0.798505642,0,0.0449,0.362292386,4,0.763,1,C O O L - Radio Edit,Le Youth,0.9740271851905538,https://open.spotify.com/track/0Oe49j06Bjrxs8PltuVeaW
20,0.000702675,0.849187935,249253,0.71623271,0.308,10,0.428,0.724672156,0,0.0655,0.467656527,4,0.471,1,Percolator (Jamie Jones Vault Mix) - mixed,Cajmere,0.9714276959270606,https://open.spotify.com/track/70lgd1xHq2kbzimbjkHCf3
21,0.000238352,0.725058005,307680,0.737591538,0.369,1,0.0995,0.883287588,1,0.0323,0.479215265,4,0.77,1,House of Jealous Lovers,The Rapture,0.9751390425853421,https://open.spotify.com/track/1bKffBd9glU944RMrWjjky
22,0.118590449,0.849187935,287086,0.392799024,0.0,9,0.527,0.748520891,1,0.395,0.536898152,4,0.441,1,Imma Ride,Young Thug,0.9736319462519811,https://open.spotify.com/track/5wj0htHicQe4jpPz1AAeoq
23,0.000596142,0.118329466,132760,0.925752644,1.35e-06,11,0.0663,0.957212565,0,0.0834,0.525817626,4,0.364,1,Girlfriend,Ty Segall,0.8464562090563116,https://open.spotify.com/track/1G2O1qi5Cat33NJCMKwEp2
24,0.280399956,0.452436195,203400,0.558584215,1.54e-05,10,0.133,0.829673681,1,0.0316,0.271991929,4,0.401,1,If I Gave You My Love,Myron & E,0.9759892178743803,https://open.spotify.com/track/6PHoRpWS8YZSZ1R0hJm236
25,0.002198157,0.76450116,205160,0.793531326,0.269,7,0.0673,0.80326319,1,0.036,0.362263227,4,0.795,1,This Ready Flesh,TR/ST,0.9695290622836732,https://open.spotify.com/track/4EF2t4uYxuXEDPSqMwlxKL
26,0.342711692,0.335266821,199500,0.680634662,1.42e-06,11,0.198,0.79926807,0,0.383,0.362490669,4,0.598,1,Lose My Mind,A-Trak,0.9510270563933776,https://open.spotify.com/track/5cJZzpcqdwkUvD2f88wcgS
27,0.01808765,0.607888631,188333,0.836248983,0.0403,6,0.316,0.807624276,1,0.134,0.304312074,4,0.32,1,Char,Crystal Castles,0.9565921691526184,https://open.spotify.com/track/1r4oikmMdZZiGHkPA4hSoe
28,0.05185659,0.765661253,228562,0.566720911,0.0,4,0.33,0.781640744,0,0.0385,0.420838388,4,0.237,1,Look Alive,Rae Sremmurd,0.9852980912535378,https://open.spotify.com/track/2IGr3q6ljcpLvHDFLtI0yW
29,0.28341504,0.711136891,186096,0.391781937,0.125,1,0.0811,0.620036597,1,0.102,0.473225949,4,0.326,1,Please Stop Making Fake Versace,Father,0.9855272024561529,https://open.spotify.com/track/609tWWYZXkSfDHhbfhaRJg
30,0.007946917,0.380510441,220934,0.441619203,0.0,2,0.173,0.642268984,1,0.156,0.510818093,4,0.137,1,Milly Rock,2milly,0.9470409934699997,https://open.spotify.com/track/2ZRn8hzxf8sn80SXrrrFn4
